152.26667 , 3 , 159.722


1.03713 , 1.18747 , 0.433

2.2246 , 1.76763 , 0.505

3.99223 , 1.74529 , 0.31

5.73752 , 1.7388 , 0.406

7.47633 , 1.72515 , 0.232

9.20148 , 1.72207 , 0.344

10.92355 , 1.71136 , 0.131

12.63491 , 1.70568 , 0.737

14.34059 , 1.71645 , 0.211

16.05704 , 1.71246 , 0.456

17.7695 , 1.71478 , 0.05

19.48428 , 1.72998 , 0.605

21.21426 , 1.74013 , 0.045

22.9544 , 1.72626 , 0.552

24.68065 , 1.72306 , 0.079

26.40371 , 1.71481 , 0.778

28.11852 , 1.72062 , 0.079

29.83914 , 1.71388 , 0.702

31.55302 , 1.70471 , 0.077

33.25774 , 1.70105 , 0.645

34.95879 , 1.68838 , 0.431

36.64717 , 1.69211 , 0.375

38.33927 , 1.71656 , 0.504

40.05583 , 1.7106 , 0.569

41.76644 , 1.69615 , 0.234

43.46258 , 1.70414 , 0.689

45.16673 , 1.69207 , 0.28

46.85879 , 1.69496 , 0.714

48.55375 , 1.71078 , 0.165

50.26453 , 1.71708 , 0.214

51.98161 , 1.72082 , 0.054

53.70243 , 1.60158 , 0.672

55.30401 , 1.25921 , 0.765

56.56322 , 1.14975 , 0.303

57.71297 , 1.1325 , 0.678

58.84547 , 1.12511 , 0.672

59.97058 , 1.11883 , 0.704

61.0894 , 1.12615 , 0.652

62.21555 , 1.11803 , 0.312

63.33358 , 1.1069 , 0.688

64.44047 , 1.11228 , 0.562

65.55276 , 1.1298 , 0.731

66.68255 , 1.14561 , 0.686

67.82817 , 1.14283 , 0.241

68.971 , 1.13459 , 0.625

70.10559 , 1.12529 , 0.354

71.23088 , 1.12742 , 0.662

72.3583 , 1.12828 , 0.848

73.48658 , 1.11744 , 0.256

74.60401 , 1.1208 , 0.24

75.72481 , 1.1263 , 0.769

76.85111 , 1.12441 , 0.77

77.97552 , 1.12752 , 0.746

79.10304 , 1.13092 , 0.697

80.23397 , 1.13527 , 0.917

81.36924 , 1.12914 , 0.816

82.49837 , 1.12658 , 0.686

83.62495 , 1.12315 , 0.727

84.74811 , 1.12197 , 0.838

85.87008 , 1.12041 , 0.861

86.99049 , 1.11525 , 0.601

88.10573 , 1.10826 , 0.835

89.214 , 1.11958 , 0.488

90.33357 , 1.12962 , 0.827

91.46319 , 1.1279 , 0.743

92.59109 , 1.12818 , 0.784

93.71927 , 1.14862 , 0.84

94.86789 , 1.13543 , 0.425

96.00332 , 1.13051 , 0.725

97.13383 , 1.12948 , 0.752

98.2633 , 1.14009 , 0.749

99.4034 , 1.13695 , 0.799

100.54034 , 1.11438 , 0.717

101.65473 , 1.11773 , 0.153

102.77245 , 1.14529 , 0.797

103.91774 , 1.13503 , 0.742

105.05277 , 1.13188 , 0.57

106.18465 , 1.14048 , 0.672

107.32513 , 1.13172 , 0.562

108.45685 , 1.13267 , 0.511

109.58952 , 1.12453 , 0.708

110.71405 , 1.12403 , 0.223

111.83808 , 1.11951 , 0.699

112.95758 , 1.11902 , 0.586

114.07661 , 1.12931 , 0.794

115.20592 , 1.13297 , 0.777

116.33889 , 1.12629 , 0.561

117.46518 , 1.12329 , 0.597

118.58847 , 1.12799 , 0.614

119.71646 , 1.12899 , 0.639

120.84545 , 1.11994 , 0.571

121.9654 , 1.11757 , 0.589

123.08297 , 1.11283 , 0.428

124.1958 , 1.10369 , 0.815

125.2995 , 1.11022 , 0.581

126.40972 , 1.10703 , 0.561

127.51675 , 1.1082 , 0.598

128.62496 , 1.10905 , 0.865

129.734 , 1.11022 , 0.537

130.84422 , 1.11171 , 0.575

131.95593 , 1.12182 , 0.689

133.07774 , 1.12547 , 0.802

134.20321 , 1.12839 , 0.635

135.3316 , 1.13097 , 0.596

136.46257 , 1.1155 , 0.681

137.57807 , 1.11649 , 0.666

138.69456 , 1.11592 , 0.657

139.81047 , 1.11935 , 0.551

140.92982 , 1.10408 , 0.691

142.0339 , 1.10513 , 0.644

143.13903 , 1.12353 , 0.77

144.26256 , 1.1193 , 0.66

145.38185 , 1.29583 , 0

